num_words,word_size,words_per_row,area,process,voltage,temperature,slew,load,fall_delay
64,3,4,922,FF,1.0,25,0.00125,0.052275,0.25498
64,3,4,922,FF,1.0,25,0.00125,0.2091,0.25622
64,3,4,922,FF,1.0,25,0.00125,0.8364,0.26145999999999997
64,3,4,922,FF,1.0,25,0.005,0.052275,0.25553
64,3,4,922,FF,1.0,25,0.005,0.2091,0.25679
64,3,4,922,FF,1.0,25,0.005,0.8364,0.26204
64,3,4,922,FF,1.0,25,0.04,0.052275,0.26091
64,3,4,922,FF,1.0,25,0.04,0.2091,0.26221
64,3,4,922,FF,1.0,25,0.04,0.8364,0.26743
64,3,4,922,SS,1.0,25,0.00125,0.052275,0.31658000000000003
64,3,4,922,SS,1.0,25,0.00125,0.2091,0.31839
64,3,4,922,SS,1.0,25,0.00125,0.8364,0.32593
64,3,4,922,SS,1.0,25,0.005,0.052275,0.31714
64,3,4,922,SS,1.0,25,0.005,0.2091,0.31899
64,3,4,922,SS,1.0,25,0.005,0.8364,0.32621
64,3,4,922,SS,1.0,25,0.04,0.052275,0.32362
64,3,4,922,SS,1.0,25,0.04,0.2091,0.32575
64,3,4,922,SS,1.0,25,0.04,0.8364,0.33302
64,3,4,922,TT,1.0,25,0.00125,0.052275,0.28139
64,3,4,922,TT,1.0,25,0.00125,0.2091,0.2828
64,3,4,922,TT,1.0,25,0.00125,0.8364,0.28887999999999997
64,3,4,922,TT,1.0,25,0.005,0.052275,0.28178
64,3,4,922,TT,1.0,25,0.005,0.2091,0.28296000000000004
64,3,4,922,TT,1.0,25,0.005,0.8364,0.28944
64,3,4,922,TT,1.0,25,0.04,0.052275,0.28772000000000003
64,3,4,922,TT,1.0,25,0.04,0.2091,0.28927
64,3,4,922,TT,1.0,25,0.04,0.8364,0.29542
64,2,4,780,FF,1.0,25,0.00125,0.052275,0.25365
64,2,4,780,FF,1.0,25,0.00125,0.2091,0.25494
64,2,4,780,FF,1.0,25,0.00125,0.8364,0.26016
64,2,4,780,FF,1.0,25,0.005,0.052275,0.25412999999999997
64,2,4,780,FF,1.0,25,0.005,0.2091,0.25533
64,2,4,780,FF,1.0,25,0.005,0.8364,0.26065000000000005
64,2,4,780,FF,1.0,25,0.04,0.052275,0.25889
64,2,4,780,FF,1.0,25,0.04,0.2091,0.26022
64,2,4,780,FF,1.0,25,0.04,0.8364,0.26556
64,2,4,780,SS,1.0,25,0.00125,0.052275,0.31452
64,2,4,780,SS,1.0,25,0.00125,0.2091,0.3165
64,2,4,780,SS,1.0,25,0.00125,0.8364,0.32376
64,2,4,780,SS,1.0,25,0.005,0.052275,0.31516
64,2,4,780,SS,1.0,25,0.005,0.2091,0.31709
64,2,4,780,SS,1.0,25,0.005,0.8364,0.32435
64,2,4,780,SS,1.0,25,0.04,0.052275,0.32149999999999995
64,2,4,780,SS,1.0,25,0.04,0.2091,0.32315
64,2,4,780,SS,1.0,25,0.04,0.8364,0.33074
64,2,4,780,TT,1.0,25,0.00125,0.052275,0.27948999999999996
64,2,4,780,TT,1.0,25,0.00125,0.2091,0.28136999999999995
64,2,4,780,TT,1.0,25,0.00125,0.8364,0.28725
64,2,4,780,TT,1.0,25,0.005,0.052275,0.28032
64,2,4,780,TT,1.0,25,0.005,0.2091,0.28179000000000004
64,2,4,780,TT,1.0,25,0.005,0.8364,0.28813
64,2,4,780,TT,1.0,25,0.04,0.052275,0.28549
64,2,4,780,TT,1.0,25,0.04,0.2091,0.28752
64,2,4,780,TT,1.0,25,0.04,0.8364,0.29366
32,1,2,584,FF,1.0,25,0.00125,0.052275,0.23641
32,1,2,584,FF,1.0,25,0.00125,0.2091,0.23782999999999999
32,1,2,584,FF,1.0,25,0.00125,0.8364,0.24323999999999998
32,1,2,584,FF,1.0,25,0.005,0.052275,0.23717000000000002
32,1,2,584,FF,1.0,25,0.005,0.2091,0.23853
32,1,2,584,FF,1.0,25,0.005,0.8364,0.2437
32,1,2,584,FF,1.0,25,0.04,0.052275,0.24194
32,1,2,584,FF,1.0,25,0.04,0.2091,0.2432
32,1,2,584,FF,1.0,25,0.04,0.8364,0.2486
32,1,2,584,SS,1.0,25,0.00125,0.052275,0.29381
32,1,2,584,SS,1.0,25,0.00125,0.2091,0.29564
32,1,2,584,SS,1.0,25,0.00125,0.8364,0.30294
32,1,2,584,SS,1.0,25,0.005,0.052275,0.2943
32,1,2,584,SS,1.0,25,0.005,0.2091,0.29651999999999995
32,1,2,584,SS,1.0,25,0.005,0.8364,0.30362
32,1,2,584,SS,1.0,25,0.04,0.052275,0.30057
32,1,2,584,SS,1.0,25,0.04,0.2091,0.30256
32,1,2,584,SS,1.0,25,0.04,0.8364,0.30998
32,1,2,584,TT,1.0,25,0.00125,0.052275,0.26071
32,1,2,584,TT,1.0,25,0.00125,0.2091,0.26230000000000003
32,1,2,584,TT,1.0,25,0.00125,0.8364,0.26844999999999997
32,1,2,584,TT,1.0,25,0.005,0.052275,0.26130000000000003
32,1,2,584,TT,1.0,25,0.005,0.2091,0.26276
32,1,2,584,TT,1.0,25,0.005,0.8364,0.26908000000000004
32,1,2,584,TT,1.0,25,0.04,0.052275,0.26691000000000004
32,1,2,584,TT,1.0,25,0.04,0.2091,0.26833
32,1,2,584,TT,1.0,25,0.04,0.8364,0.27488
32,2,2,642,FF,1.0,25,0.00125,0.052275,0.23962999999999998
32,2,2,642,FF,1.0,25,0.00125,0.2091,0.24112
32,2,2,642,FF,1.0,25,0.00125,0.8364,0.24631
32,2,2,642,FF,1.0,25,0.005,0.052275,0.24009999999999998
32,2,2,642,FF,1.0,25,0.005,0.2091,0.24160000000000004
32,2,2,642,FF,1.0,25,0.005,0.8364,0.24684
32,2,2,642,FF,1.0,25,0.04,0.052275,0.24514999999999998
32,2,2,642,FF,1.0,25,0.04,0.2091,0.24680000000000002
32,2,2,642,FF,1.0,25,0.04,0.8364,0.2518
32,2,2,642,SS,1.0,25,0.00125,0.052275,0.298
32,2,2,642,SS,1.0,25,0.00125,0.2091,0.29993000000000003
32,2,2,642,SS,1.0,25,0.00125,0.8364,0.30740999999999996
