num_words,word_size,words_per_row,area,process,voltage,temperature,slew,load,rise_slew
16,2,1,46853,FF,5.0,25,0.0125,2.45605,1.7733000000000003
16,2,1,46853,FF,5.0,25,0.0125,9.8242,1.7797000000000003
16,2,1,46853,FF,5.0,25,0.0125,39.2968,1.8085000000000002
16,2,1,46853,FF,5.0,25,0.05,2.45605,1.7736
16,2,1,46853,FF,5.0,25,0.05,9.8242,1.7796
16,2,1,46853,FF,5.0,25,0.05,39.2968,1.8081000000000003
16,2,1,46853,FF,5.0,25,0.4,2.45605,1.774
16,2,1,46853,FF,5.0,25,0.4,9.8242,1.7812000000000001
16,2,1,46853,FF,5.0,25,0.4,39.2968,1.8084
16,2,1,46853,SS,5.0,25,0.0125,2.45605,1.8483
16,2,1,46853,SS,5.0,25,0.0125,9.8242,1.8552000000000002
16,2,1,46853,SS,5.0,25,0.0125,39.2968,1.8888000000000003
16,2,1,46853,SS,5.0,25,0.05,2.45605,1.8472
16,2,1,46853,SS,5.0,25,0.05,9.8242,1.8547000000000002
16,2,1,46853,SS,5.0,25,0.05,39.2968,1.8883
16,2,1,46853,SS,5.0,25,0.4,2.45605,1.8462
16,2,1,46853,SS,5.0,25,0.4,9.8242,1.8541000000000003
16,2,1,46853,SS,5.0,25,0.4,39.2968,1.8880000000000001
16,2,1,46853,TT,3.6,25,0.0125,2.45605,2.2169
16,2,1,46853,TT,3.6,25,0.0125,9.8242,2.2276000000000002
16,2,1,46853,TT,3.6,25,0.0125,39.2968,2.2752000000000003
16,2,1,46853,TT,3.6,25,0.05,2.45605,2.2169
16,2,1,46853,TT,3.6,25,0.05,9.8242,2.2274
16,2,1,46853,TT,3.6,25,0.05,39.2968,2.2752000000000003
16,2,1,46853,TT,3.6,25,0.4,2.45605,2.2155
16,2,1,46853,TT,3.6,25,0.4,9.8242,2.2265
16,2,1,46853,TT,3.6,25,0.4,39.2968,2.274
64,2,4,66821,FF,5.0,25,0.0125,2.45605,1.6523
64,2,4,66821,FF,5.0,25,0.0125,9.8242,1.6619
64,2,4,66821,FF,5.0,25,0.0125,39.2968,1.6992
64,2,4,66821,FF,5.0,25,0.05,2.45605,1.6526000000000003
64,2,4,66821,FF,5.0,25,0.05,9.8242,1.6615000000000002
64,2,4,66821,FF,5.0,25,0.05,39.2968,1.6989000000000003
64,2,4,66821,FF,5.0,25,0.4,2.45605,1.6514000000000002
64,2,4,66821,FF,5.0,25,0.4,9.8242,1.6621000000000001
64,2,4,66821,FF,5.0,25,0.4,39.2968,1.6979000000000002
64,2,4,66821,SS,5.0,25,0.0125,2.45605,1.7235
64,2,4,66821,SS,5.0,25,0.0125,9.8242,1.7336
64,2,4,66821,SS,5.0,25,0.0125,39.2968,1.7746
64,2,4,66821,SS,5.0,25,0.05,2.45605,1.7236
64,2,4,66821,SS,5.0,25,0.05,9.8242,1.7332
64,2,4,66821,SS,5.0,25,0.05,39.2968,1.7749
64,2,4,66821,SS,5.0,25,0.4,2.45605,1.7249
64,2,4,66821,SS,5.0,25,0.4,9.8242,1.7345
64,2,4,66821,SS,5.0,25,0.4,39.2968,1.7753000000000003
64,2,4,66821,TT,3.6,25,0.0125,2.45605,2.0566
64,2,4,66821,TT,3.6,25,0.0125,9.8242,2.0700000000000003
64,2,4,66821,TT,3.6,25,0.0125,39.2968,2.1247
64,2,4,66821,TT,3.6,25,0.05,2.45605,2.0569
64,2,4,66821,TT,3.6,25,0.05,9.8242,2.0712000000000006
64,2,4,66821,TT,3.6,25,0.05,39.2968,2.1243
