num_words,word_size,words_per_row,area,process,voltage,temperature,slew,load,read1_power
16,2,1,46853,FF,5.0,25,0.0125,2.45605,16.676000000000002
16,2,1,46853,FF,5.0,25,0.0125,9.8242,16.676000000000002
16,2,1,46853,FF,5.0,25,0.0125,39.2968,16.676000000000002
16,2,1,46853,FF,5.0,25,0.05,2.45605,16.676000000000002
16,2,1,46853,FF,5.0,25,0.05,9.8242,16.676000000000002
16,2,1,46853,FF,5.0,25,0.05,39.2968,16.676000000000002
16,2,1,46853,FF,5.0,25,0.4,2.45605,16.676000000000002
16,2,1,46853,FF,5.0,25,0.4,9.8242,16.676000000000002
16,2,1,46853,FF,5.0,25,0.4,39.2968,16.676000000000002
16,2,1,46853,SS,5.0,25,0.0125,2.45605,15.048222222222222
16,2,1,46853,SS,5.0,25,0.0125,9.8242,15.048222222222222
16,2,1,46853,SS,5.0,25,0.0125,39.2968,15.048222222222222
16,2,1,46853,SS,5.0,25,0.05,2.45605,15.048222222222222
16,2,1,46853,SS,5.0,25,0.05,9.8242,15.048222222222222
16,2,1,46853,SS,5.0,25,0.05,39.2968,15.048222222222222
16,2,1,46853,SS,5.0,25,0.4,2.45605,15.048222222222222
16,2,1,46853,SS,5.0,25,0.4,9.8242,15.048222222222222
16,2,1,46853,SS,5.0,25,0.4,39.2968,15.048222222222222
16,2,1,46853,TT,3.6,25,0.0125,2.45605,5.970233333333334
16,2,1,46853,TT,3.6,25,0.0125,9.8242,5.970233333333334
16,2,1,46853,TT,3.6,25,0.0125,39.2968,5.970233333333334
16,2,1,46853,TT,3.6,25,0.05,2.45605,5.970233333333334
16,2,1,46853,TT,3.6,25,0.05,9.8242,5.970233333333334
16,2,1,46853,TT,3.6,25,0.05,39.2968,5.970233333333334
16,2,1,46853,TT,3.6,25,0.4,2.45605,5.970233333333334
16,2,1,46853,TT,3.6,25,0.4,9.8242,5.970233333333334
16,2,1,46853,TT,3.6,25,0.4,39.2968,5.970233333333334
64,2,4,66821,FF,5.0,25,0.0125,2.45605,20.39606666666667
64,2,4,66821,FF,5.0,25,0.0125,9.8242,20.39606666666667
64,2,4,66821,FF,5.0,25,0.0125,39.2968,20.39606666666667
64,2,4,66821,FF,5.0,25,0.05,2.45605,20.39606666666667
64,2,4,66821,FF,5.0,25,0.05,9.8242,20.39606666666667
64,2,4,66821,FF,5.0,25,0.05,39.2968,20.39606666666667
64,2,4,66821,FF,5.0,25,0.4,2.45605,20.39606666666667
64,2,4,66821,FF,5.0,25,0.4,9.8242,20.39606666666667
64,2,4,66821,FF,5.0,25,0.4,39.2968,20.39606666666667
64,2,4,66821,SS,5.0,25,0.0125,2.45605,18.48441111111111
64,2,4,66821,SS,5.0,25,0.0125,9.8242,18.48441111111111
64,2,4,66821,SS,5.0,25,0.0125,39.2968,18.48441111111111
64,2,4,66821,SS,5.0,25,0.05,2.45605,18.48441111111111
64,2,4,66821,SS,5.0,25,0.05,9.8242,18.48441111111111
64,2,4,66821,SS,5.0,25,0.05,39.2968,18.48441111111111
64,2,4,66821,SS,5.0,25,0.4,2.45605,18.48441111111111
64,2,4,66821,SS,5.0,25,0.4,9.8242,18.48441111111111
64,2,4,66821,SS,5.0,25,0.4,39.2968,18.48441111111111
64,2,4,66821,TT,3.6,25,0.0125,2.45605,7.184488888888889
64,2,4,66821,TT,3.6,25,0.0125,9.8242,7.184488888888889
64,2,4,66821,TT,3.6,25,0.0125,39.2968,7.184488888888889
64,2,4,66821,TT,3.6,25,0.05,2.45605,7.184488888888889
64,2,4,66821,TT,3.6,25,0.05,9.8242,7.184488888888889
64,2,4,66821,TT,3.6,25,0.05,39.2968,7.184488888888889
64,2,4,66821,TT,3.6,25,0.4,2.45605,7.184488888888889
64,2,4,66821,TT,3.6,25,0.4,9.8242,7.184488888888889
64,2,4,66821,TT,3.6,25,0.4,39.2968,7.184488888888889
16,1,1,44918,FF,5.0,25,0.0125,2.45605,15.575122222222225
16,1,1,44918,FF,5.0,25,0.0125,9.8242,15.575122222222225
16,1,1,44918,FF,5.0,25,0.0125,39.2968,15.575122222222225
16,1,1,44918,FF,5.0,25,0.05,2.45605,15.575122222222225
16,1,1,44918,FF,5.0,25,0.05,9.8242,15.575122222222225
16,1,1,44918,FF,5.0,25,0.05,39.2968,15.575122222222225
16,1,1,44918,FF,5.0,25,0.4,2.45605,15.575122222222225
16,1,1,44918,FF,5.0,25,0.4,9.8242,15.575122222222225
16,1,1,44918,FF,5.0,25,0.4,39.2968,15.575122222222225
16,1,1,44918,SS,5.0,25,0.0125,2.45605,14.689155555555557
16,1,1,44918,SS,5.0,25,0.0125,9.8242,14.689155555555557
16,1,1,44918,SS,5.0,25,0.0125,39.2968,14.689155555555557
16,1,1,44918,SS,5.0,25,0.05,2.45605,14.689155555555557
16,1,1,44918,SS,5.0,25,0.05,9.8242,14.689155555555557
16,1,1,44918,SS,5.0,25,0.05,39.2968,14.689155555555557
16,1,1,44918,SS,5.0,25,0.4,2.45605,14.689155555555557
