num_words,word_size,words_per_row,area,process,voltage,temperature,slew,load,write1_power
16,2,1,46853,FF,5.0,25,0.0125,2.45605,14.552122222222222
16,2,1,46853,FF,5.0,25,0.0125,9.8242,14.552122222222222
16,2,1,46853,FF,5.0,25,0.0125,39.2968,14.552122222222222
16,2,1,46853,FF,5.0,25,0.05,2.45605,14.552122222222222
16,2,1,46853,FF,5.0,25,0.05,9.8242,14.552122222222222
16,2,1,46853,FF,5.0,25,0.05,39.2968,14.552122222222222
16,2,1,46853,FF,5.0,25,0.4,2.45605,14.552122222222222
16,2,1,46853,FF,5.0,25,0.4,9.8242,14.552122222222222
16,2,1,46853,FF,5.0,25,0.4,39.2968,14.552122222222222
16,2,1,46853,SS,5.0,25,0.0125,2.45605,13.17188888888889
16,2,1,46853,SS,5.0,25,0.0125,9.8242,13.17188888888889
16,2,1,46853,SS,5.0,25,0.0125,39.2968,13.17188888888889
16,2,1,46853,SS,5.0,25,0.05,2.45605,13.17188888888889
16,2,1,46853,SS,5.0,25,0.05,9.8242,13.17188888888889
16,2,1,46853,SS,5.0,25,0.05,39.2968,13.17188888888889
16,2,1,46853,SS,5.0,25,0.4,2.45605,13.17188888888889
16,2,1,46853,SS,5.0,25,0.4,9.8242,13.17188888888889
16,2,1,46853,SS,5.0,25,0.4,39.2968,13.17188888888889
16,2,1,46853,TT,3.6,25,0.0125,2.45605,5.0991
16,2,1,46853,TT,3.6,25,0.0125,9.8242,5.0991
16,2,1,46853,TT,3.6,25,0.0125,39.2968,5.0991
16,2,1,46853,TT,3.6,25,0.05,2.45605,5.0991
16,2,1,46853,TT,3.6,25,0.05,9.8242,5.0991
16,2,1,46853,TT,3.6,25,0.05,39.2968,5.0991
16,2,1,46853,TT,3.6,25,0.4,2.45605,5.0991
16,2,1,46853,TT,3.6,25,0.4,9.8242,5.0991
16,2,1,46853,TT,3.6,25,0.4,39.2968,5.0991
64,2,4,66821,FF,5.0,25,0.0125,2.45605,17.173877777777776
64,2,4,66821,FF,5.0,25,0.0125,9.8242,17.173877777777776
64,2,4,66821,FF,5.0,25,0.0125,39.2968,17.173877777777776
64,2,4,66821,FF,5.0,25,0.05,2.45605,17.173877777777776
64,2,4,66821,FF,5.0,25,0.05,9.8242,17.173877777777776
64,2,4,66821,FF,5.0,25,0.05,39.2968,17.173877777777776
64,2,4,66821,FF,5.0,25,0.4,2.45605,17.173877777777776
64,2,4,66821,FF,5.0,25,0.4,9.8242,17.173877777777776
64,2,4,66821,FF,5.0,25,0.4,39.2968,17.173877777777776
64,2,4,66821,SS,5.0,25,0.0125,2.45605,15.558922222222224
64,2,4,66821,SS,5.0,25,0.0125,9.8242,15.558922222222224
64,2,4,66821,SS,5.0,25,0.0125,39.2968,15.558922222222224
64,2,4,66821,SS,5.0,25,0.05,2.45605,15.558922222222224
64,2,4,66821,SS,5.0,25,0.05,9.8242,15.558922222222224
64,2,4,66821,SS,5.0,25,0.05,39.2968,15.558922222222224
64,2,4,66821,SS,5.0,25,0.4,2.45605,15.558922222222224
64,2,4,66821,SS,5.0,25,0.4,9.8242,15.558922222222224
64,2,4,66821,SS,5.0,25,0.4,39.2968,15.558922222222224
64,2,4,66821,TT,3.6,25,0.0125,2.45605,5.990855555555556
64,2,4,66821,TT,3.6,25,0.0125,9.8242,5.990855555555556
64,2,4,66821,TT,3.6,25,0.0125,39.2968,5.990855555555556
64,2,4,66821,TT,3.6,25,0.05,2.45605,5.990855555555556
64,2,4,66821,TT,3.6,25,0.05,9.8242,5.990855555555556
64,2,4,66821,TT,3.6,25,0.05,39.2968,5.990855555555556
64,2,4,66821,TT,3.6,25,0.4,2.45605,5.990855555555556
64,2,4,66821,TT,3.6,25,0.4,9.8242,5.990855555555556
64,2,4,66821,TT,3.6,25,0.4,39.2968,5.990855555555556
16,1,1,44918,FF,5.0,25,0.0125,2.45605,13.361055555555557
16,1,1,44918,FF,5.0,25,0.0125,9.8242,13.361055555555557
16,1,1,44918,FF,5.0,25,0.0125,39.2968,13.361055555555557
16,1,1,44918,FF,5.0,25,0.05,2.45605,13.361055555555557
16,1,1,44918,FF,5.0,25,0.05,9.8242,13.361055555555557
16,1,1,44918,FF,5.0,25,0.05,39.2968,13.361055555555557
16,1,1,44918,FF,5.0,25,0.4,2.45605,13.361055555555557
16,1,1,44918,FF,5.0,25,0.4,9.8242,13.361055555555557
16,1,1,44918,FF,5.0,25,0.4,39.2968,13.361055555555557
16,1,1,44918,SS,5.0,25,0.0125,2.45605,12.38438888888889
16,1,1,44918,SS,5.0,25,0.0125,9.8242,12.38438888888889
16,1,1,44918,SS,5.0,25,0.0125,39.2968,12.38438888888889
16,1,1,44918,SS,5.0,25,0.05,2.45605,12.38438888888889
16,1,1,44918,SS,5.0,25,0.05,9.8242,12.38438888888889
16,1,1,44918,SS,5.0,25,0.05,39.2968,12.38438888888889
16,1,1,44918,SS,5.0,25,0.4,2.45605,12.38438888888889
16,1,1,44918,SS,5.0,25,0.4,9.8242,12.38438888888889
16,1,1,44918,SS,5.0,25,0.4,39.2968,12.38438888888889
16,1,1,44918,TT,3.6,25,0.0125,2.45605,4.642466666666667
16,1,1,44918,TT,3.6,25,0.0125,9.8242,4.642466666666667
16,1,1,44918,TT,3.6,25,0.0125,39.2968,4.642466666666667
16,1,1,44918,TT,3.6,25,0.05,2.45605,4.642466666666667
16,1,1,44918,TT,3.6,25,0.05,9.8242,4.642466666666667
16,1,1,44918,TT,3.6,25,0.05,39.2968,4.642466666666667
16,1,1,44918,TT,3.6,25,0.4,2.45605,4.642466666666667
16,1,1,44918,TT,3.6,25,0.4,9.8242,4.642466666666667
16,1,1,44918,TT,3.6,25,0.4,39.2968,4.642466666666667
32,3,2,61533,FF,5.0,25,0.0125,2.45605,17.334066666666665
32,3,2,61533,FF,5.0,25,0.0125,9.8242,17.334066666666665
32,3,2,61533,FF,5.0,25,0.0125,39.2968,17.334066666666665
32,3,2,61533,FF,5.0,25,0.05,2.45605,17.334066666666665
32,3,2,61533,FF,5.0,25,0.05,9.8242,17.334066666666665
32,3,2,61533,FF,5.0,25,0.05,39.2968,17.334066666666665
32,3,2,61533,FF,5.0,25,0.4,2.45605,17.334066666666665
32,3,2,61533,FF,5.0,25,0.4,9.8242,17.334066666666665
32,3,2,61533,FF,5.0,25,0.4,39.2968,17.334066666666665
32,3,2,61533,SS,5.0,25,0.0125,2.45605,15.700577777777776
32,3,2,61533,SS,5.0,25,0.0125,9.8242,15.700577777777776
32,3,2,61533,SS,5.0,25,0.0125,39.2968,15.700577777777776
32,3,2,61533,SS,5.0,25,0.05,2.45605,15.700577777777776
32,3,2,61533,SS,5.0,25,0.05,9.8242,15.700577777777776
32,3,2,61533,SS,5.0,25,0.05,39.2968,15.700577777777776
32,3,2,61533,SS,5.0,25,0.4,2.45605,15.700577777777776
32,3,2,61533,SS,5.0,25,0.4,9.8242,15.700577777777776
32,3,2,61533,SS,5.0,25,0.4,39.2968,15.700577777777776
32,3,2,61533,TT,3.6,25,0.0125,2.45605,5.999477777777778
32,3,2,61533,TT,3.6,25,0.0125,9.8242,5.999477777777778
32,3,2,61533,TT,3.6,25,0.0125,39.2968,5.999477777777778
32,3,2,61533,TT,3.6,25,0.05,2.45605,5.999477777777778
32,3,2,61533,TT,3.6,25,0.05,9.8242,5.999477777777778
32,3,2,61533,TT,3.6,25,0.05,39.2968,5.999477777777778
32,3,2,61533,TT,3.6,25,0.4,2.45605,5.999477777777778
32,3,2,61533,TT,3.6,25,0.4,9.8242,5.999477777777778
32,3,2,61533,TT,3.6,25,0.4,39.2968,5.999477777777778
32,2,2,55960,FF,5.0,25,0.0125,2.45605,15.736833333333331
32,2,2,55960,FF,5.0,25,0.0125,9.8242,15.736833333333331
32,2,2,55960,FF,5.0,25,0.0125,39.2968,15.736833333333331
32,2,2,55960,FF,5.0,25,0.05,2.45605,15.736833333333331
32,2,2,55960,FF,5.0,25,0.05,9.8242,15.736833333333331
32,2,2,55960,FF,5.0,25,0.05,39.2968,15.736833333333331
32,2,2,55960,FF,5.0,25,0.4,2.45605,15.736833333333331
32,2,2,55960,FF,5.0,25,0.4,9.8242,15.736833333333331
32,2,2,55960,FF,5.0,25,0.4,39.2968,15.736833333333331
32,2,2,55960,SS,5.0,25,0.0125,2.45605,14.229766666666668
32,2,2,55960,SS,5.0,25,0.0125,9.8242,14.229766666666668
32,2,2,55960,SS,5.0,25,0.0125,39.2968,14.229766666666668
32,2,2,55960,SS,5.0,25,0.05,2.45605,14.229766666666668
32,2,2,55960,SS,5.0,25,0.05,9.8242,14.229766666666668
32,2,2,55960,SS,5.0,25,0.05,39.2968,14.229766666666668
32,2,2,55960,SS,5.0,25,0.4,2.45605,14.229766666666668
32,2,2,55960,SS,5.0,25,0.4,9.8242,14.229766666666668
32,2,2,55960,SS,5.0,25,0.4,39.2968,14.229766666666668
32,2,2,55960,TT,3.6,25,0.0125,2.45605,5.425977777777778
32,2,2,55960,TT,3.6,25,0.0125,9.8242,5.425977777777778
32,2,2,55960,TT,3.6,25,0.0125,39.2968,5.425977777777778
32,2,2,55960,TT,3.6,25,0.05,2.45605,5.425977777777778
32,2,2,55960,TT,3.6,25,0.05,9.8242,5.425977777777778
32,2,2,55960,TT,3.6,25,0.05,39.2968,5.425977777777778
32,2,2,55960,TT,3.6,25,0.4,2.45605,5.425977777777778
32,2,2,55960,TT,3.6,25,0.4,9.8242,5.425977777777778
32,2,2,55960,TT,3.6,25,0.4,39.2968,5.425977777777778
16,3,1,49288,FF,5.0,25,0.0125,2.45605,15.804955555555559
16,3,1,49288,FF,5.0,25,0.0125,9.8242,15.804955555555559
